Brand,Year,Model,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,CylindersinEngine,BodyType,Doors,Seats,Price
Subaru,2018,XV,2018 Subaru XV 2.0I-S,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7 L / 100 km,144081,White / -,4 cyl,SUV," 4 Doors"," 5 Seats",29990
Mazda,2015,3,2015 Mazda 3 SP25,USED,Manual,"4 cyl, 2.5 L",Front,Unleaded,6.5 L / 100 km,92532,White / -,4 cyl,Sedan," 4 Doors"," 5 Seats",18580
Mazda,2014,CX-5,2014 Mazda CX-5 KE Series 2 Maxx Sport Wagon 5dr SKYACTIV-Drive 6sp AWD 2.5i,USED,Automatic,-,Other,-,-,201000,Blue / 2014/02,-,Wagon,,,16499
Hyundai,2016,I30,2016 Hyundai I30 Active,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.3 L / 100 km,37620,Silver / -,4 cyl,Hatchback," 5 Doors"," 5 Seats",21947
Toyota,2017,Hilux,2017 Toyota Hilux SR (4X4),USED,Manual,"4 cyl, 2.8 L",4WD,Diesel,7.6 L / 100 km,45107,White / Black,4 cyl,Ute / Tray," 4 Doors"," 5 Seats",49990
Holden,2017,Trailblazer,2017 Holden Trailblazer LTZ (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.6 L / 100 km,85873,Red / Black,4 cyl,SUV," 4 Doors"," 7 Seats",35880
Suzuki,2021,Jimny,2021 Suzuki Jimny Lite,USED,Manual,"4 cyl, 1.5 L",4WD,Unleaded,6.4 L / 100 km,14500,Grey / -,4 cyl,SUV," 2 Doors"," 4 Seats",38990
Subaru,2022,WRX,2022 Subaru WRX TS (awd),USED,Automatic,"4 cyl, 2.4 L",AWD,Premium,8.5 L / 100 km,5204,White / Black,4 cyl,Wagon," 4 Doors"," 5 Seats",56990
Hyundai,2017,I30,2017 Hyundai I30 SR,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,7.5 L / 100 km,93652,Red / -,4 cyl,Hatchback," 4 Doors"," 5 Seats",24990
Honda,2017,Civic,2017 Honda Civic Type R,USED,Manual,"4 cyl, 2 L",Front,Premium,8.8 L / 100 km,49860,White / -,4 cyl,Hatchback," 5 Doors"," 4 Seats",52900
Subaru,2020,Outback,2020 Subaru Outback 2.5I AWD,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.3 L / 100 km,24869,White / -,4 cyl,SUV," 4 Doors"," 5 Seats",37999
Toyota,2009,RAV4,2009 Toyota RAV4 CV (4X4),USED,Manual,"4 cyl, 2.4 L",Other,-,-,166000,Black / -,4 cyl,Wagon," 4 Doors",,14990
Jeep,2022,Grand,2022 Jeep Grand Cherokee Night Eagle 5 Seat (4X4),NEW,Automatic,"6 cyl, 3.6 L",4WD,-,9.9 L / 100 km,35,White / -,6 cyl,SUV," 4 Doors"," 5 Seats",76990
Nissan,2009,Navara,2009 Nissan Navara ST-X (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.8 L / 100 km,227457,White / -,4 cyl,Ute / Tray," 4 Doors"," 5 Seats",14990
Toyota,2019,Landcruiser,2019 Toyota Landcruiser Prado GXL (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8 L / 100 km,50849,White / -,4 cyl,SUV," 4 Doors"," 7 Seats",68999
Jeep,2023,Compass,2023 Jeep Compass Limited,NEW,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,9.7 L / 100 km,5,- / -,4 cyl,SUV," 4 Doors"," 5 Seats",51600
Hyundai,2017,Santa,2017 Hyundai Santa FE Active (4X4),USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,9.4 L / 100 km,111729,Silver / -,4 cyl,SUV," 4 Doors"," 7 Seats",24760
Nissan,2011,Navara,2011 Nissan Navara ST (4X4),USED,Automatic,"4 cyl, 2.5 L",4WD,Diesel,10.5 L / 100 km,260857,Silver / -,4 cyl,Ute / Tray," 4 Doors"," 5 Seats",16999
Toyota,2021,RAV4,2021 Toyota RAV4 Cruiser (awd) Hybrid,USED,Automatic,"4 cyl, 2.5 L",AWD,Hybrid,4.8 L / 100 km,22658,Blue / Beige,4 cyl,SUV," 5 Doors"," 5 Seats",58880
Toyota,2006,Landcruiser,2006 Toyota Landcruiser GXL (4X4),USED,Automatic,"8 cyl, 4.7 L",4WD,Unleaded,16.4 L / 100 km,365219,Silver / -,8 cyl,SUV," 4 Doors"," 8 Seats",24990
Hyundai,2020,Kona,2020 Hyundai Kona Active (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.2 L / 100 km,55365,Blue / Black,4 cyl,SUV," 4 Doors"," 5 Seats",26880
Mitsubishi,2016,ASX,2016 Mitsubishi ASX LS (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,94320,Grey / -,4 cyl,SUV," 4 Doors"," 5 Seats",22990
Toyota,2010,Hilux,2010 Toyota Hilux SR5 (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,9.5 L / 100 km,220000,White / -,4 cyl,Ute / Tray," 4 Doors"," 5 Seats",28990
Toyota,2007,Landcruiser,2007 Toyota Landcruiser Sahara (4X4),USED,Automatic,"8 cyl, 4.5 L",4WD,Diesel,10.3 L / 100 km,179950,White / -,8 cyl,SUV," 4 Doors"," 8 Seats",64490
Honda,2016,HR-V,2016 Honda HR-V VTI-S,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.9 L / 100 km,62843,Grey / -,4 cyl,SUV," 4 Doors"," 5 Seats",24900
Subaru,2016,XV,2016 Subaru XV 2.0I-L,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7.1 L / 100 km,117370,Blue / -,4 cyl,SUV," 4 Doors"," 5 Seats",23990
Mitsubishi,2021,Eclipse,2021 Mitsubishi Eclipse Cross Exceed (2WD),USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3 L / 100 km,19552,Grey / Black,4 cyl,SUV," 4 Doors"," 5 Seats",39990
Mitsubishi,2004,Verada,2004 Mitsubishi Verada Gtvi AWD,USED,Automatic,"6 cyl, 3.5 L",AWD,Unleaded,11.5 L / 100 km,152093,White / -,6 cyl,Sedan," 4 Doors"," 5 Seats",8990
Nissan,2021,Qashqai,2021 Nissan Qashqai TI,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,24781,Blue / -,4 cyl,SUV," 4 Doors"," 5 Seats",35999
Mazda,2015,CX-5,2015 Mazda CX-5 Maxx Sport (4X4),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,80141,White / Black,4 cyl,SUV," 4 Doors"," 5 Seats",24990
Hyundai,2019,I30,2019 Hyundai I30 Active,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,22754,White / Black,4 cyl,Hatchback," 4 Doors"," 5 Seats",24880
